,0
0,8972.6
1,8945.99
2,9006.62
3,9022.39
4,8952.88
5,8945.65
6,8924.96
7,8887.22
8,8827.73
9,8823.36
10,8814.23
11,8734.88
12,8717.32
13,8654.05
14,8616.18
15,8621.83
16,8656.53
17,8570.7
18,8566.67
19,8520.64
20,8567.99
21,8665.47
22,8705.18
23,8647.93
24,8632.49
25,8519.88
26,8506.21
27,8526.73
28,8570.66
29,8549.94
30,8540.83
31,8479.02
32,8482.1
33,8486.09
34,8464.28
35,8475.31
36,8434.52
37,8410.63
38,8434.68
39,8433.2
40,8386.4
41,8292.36
42,8303.98
43,8276.85
44,8325.99
45,8243.12
46,8185.8
47,8119.79
48,8104.3
49,8162.99
50,8089.54
51,8156.85
52,8124.18
53,8148.71
54,8048.65
55,8057.04
56,7950.78
57,7903.74
58,7823.78
59,7956.29
60,7982.47
61,7872.26
62,7785.25
63,7908.68
64,7999.34
65,7939.63
66,8030.66
67,8077.38
68,7993.63
69,8112.46
70,8117.67
71,8182.88
72,8177.39
73,8186.02
74,8153.54
75,8176.71
76,8194.47
77,8169.68
78,8084.16
79,8087.44
80,8103.07
81,8116.83
82,7976.88
83,7874.16
84,7962.88
85,7973.39
86,7856.88
87,7826.95
88,7853.74
89,7751.77
90,7991.39
91,8020.21
92,7948.56
93,8002.81
94,7895.99
95,7766.62
96,7773.94
97,8016.36
98,7863.41
99,7959.14
100,8039.16
101,7862.83
102,7833.27
103,7726.04
104,8004.07
105,8111.12
106,8175.42
107,8273.61
108,8293.33
109,8330.21
110,8238.54
111,8321.5
112,8251.4
113,8204.14
114,8146.49
115,8207.24
116,8185.21
117,8222.8
118,8258.19
119,8244.14
120,8196.04
121,8202.53
122,8141.73
123,8098.38
124,8161.79
125,8170.23
126,8109.09
127,8091.16
128,8006.24
129,7967.76
130,7909.97
131,7884.72
132,8005.7
133,8031.71
134,8051.34
135,7987.32
136,7953.88
137,7845.02
138,7796.66
139,7837.13
140,7792.72
141,7822.57
142,7823.17
143,7742.1
144,7615.55
145,7575.48
146,7527.12
147,7333.02
148,7453.15
149,7567.72
150,7547.31
151,7607.35
152,7637.01
153,7628.28
154,7750.84
155,7785.72
156,7702.38
157,7816.28
158,7898.05
159,7822.15
160,7734.49
161,7647.02
162,7916.94
163,7910.59
164,7943.32
165,7963.76
166,8123.29
167,8164
168,8036.77
169,8049.64
170,8095.39
171,8161.85
172,8146.4
173,8118.68
174,8102.01
175,8120.82
176,8015.27
177,7998.06
178,7996.08
179,8000.23
180,7976.01
181,7984.16
182,7947.36
183,7964.24
184,7909.28
185,7953.88
186,7938.69
187,7891.78
188,7895.55
189,7848.69
190,7828.91
191,7729.32
192,7669.17
193,7643.38
194,7691.52
195,7637.54
196,7642.67
197,7838.96
198,7728.97
199,7723.95
200,7714.48
201,7688.53
202,7630.91
203,7643.41
204,7591.03
205,7558.06
206,7408.14
207,7421.46
208,7505.92
209,7576.36
210,7577.57
211,7595.35
212,7532.53
213,7554.51
214,7549.3
215,7554.46
216,7527.54
217,7459.71
218,7489.07
219,7486.77
220,7472.41
221,7426.95
222,7420.38
223,7414.62
224,7307.9
225,7298.2
226,7288.35
227,7375.28
228,7402.08
229,7347.54
230,7263.87
231,7281.74
232,7183.08
233,7028.29
234,7085.68
235,7164.86
236,7073.46
237,7025.77
238,7020.36
239,7157.23
240,7084.46
241,7034.69
242,7023.83
243,6905.92
244,6971.48
245,6986.07
246,6957.08
247,6897
248,6823.47
249,6738.86
250,6463.5
251,6665.94
